,Smiles
77,c1cccc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N\OC(=O)C)c4ccccc4
78,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)-c(ccc2)c(c23)cccc3
79,O=[N+]([O-])c1ccc(cc1)/C(=N\OC(=O)C)c(c2)ccc(c23)c4c(cc([N+](=O)[O-])cc4)C3(CCCC)CCCC
80,c1cc([N+]([O-])=O)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)/C(c4ccc([N+](=O)[O-])cc4)=N/OC(=O)c5ccccc5
81,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)Sc2ccc(cc2)C(=O)/C(C)=N/OC(=O)C
82,CC(=O)O/N=C(/C)C(=O)c1ccc(cc1)-c2ccc(cc2)OC
83,CC(=O)O/N=C(/C)C(=O)c1ccc(cc1)-c2ccc(cc2)Sc3ccccc3
84,c1cc(OC)cc(c12)C(CC)(CC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C
85,CCCCCC/C(=N\OC(=O)C)c(cn1CC)c(c12)cc([N+]([O-])=O)cc2
86,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)N2CCOCC2
87,O=C(C)O\N=C(C)\c(c1)ccc(c12)n(CC)c3c2cc(cc3)C(=O)c4c(C)cc(cc4)O[C@@H](CO5)OC5(C)C
88,c1cc([N+]([O-])=O)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)/C(=N/OC(=O)C)CCCCC
89,c1cc([N+]([O-])=O)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)/C(=N/OC(=O)C)C4CCCCC4
90,c1cc([N+](=O)[O-])ccc1-c2ccc(cc2)/C(CC)=N/OC(=O)C
91,c1cc([N+](=O)[O-])ccc1-c2ccc(cc2)/C(=N/OC(=O)C)CCCC
92,c1cc([N+](=O)[O-])ccc1-c2ccc(cc2)/C(=N/OC(=O)C)CCCCCC
93,CC(=O)O/N=C(\CCC)c(c1)ccc(c12)c3c(C2(CCC)CCC)cc([N+](=O)[O-])cc3
94,c1ccccc1C(=O)O/N=C(CCCCCCC)/C(=O)c2ccc(cc2)Sc3ccccc3
95,CC(=O)O/N=C(/C)c(cc1)cc(c12)c3c(n2CC)ccc(c3)C(=O)c4c(C)cccc4
96,FC(F)C(F)(F)C(F)(F)C(F)(F)Oc1ccccc1/C(=N/OC(=O)C)c(cc2)cc(c23)c4c(n3C[C@H](CC)CCCC)c5c(cccc5)c(c4)C(=O)c6c(C)cc(C)cc6C
97,C1CCCC1CC/C(=N\OC(=O)C)c(cc2)cc(c23)c4c(n3CC)ccc(c4)C(=O)c5c(C)cccc5
98,c12c3c4ccc1c(/C(C)=N/OC(=O)C)ccc2ccc3ccc4
99,CC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)N(C(=O)C)c3c(S2)cccc3
100,CC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)N(CCCC)c3c(S2)cccc3
101,CC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)N(CC)c3c(S2)cccc3
102,CC(=O)O/N=C(\C)C(=O)c(c(c12)cccn2)ccc1OCc3ccccc3
103,CC(=O)O/N=C(\C)C(=O)c1c(O)c(cc(C)c1)C(=O)/C(C)=N/OC(=O)C
104,O=C(C)O\N=C(C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C
105,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(CC)=N/OC(=O)C
106,CCCCCCC(=N/OC(=O)C)\c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)/C(=N/OC(=O)C)CCCCCC
107,CCCCCCC(=N\OC(=O)C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N\OC(=O)C)CCCCC
108,CCCCCCC(=N\OC(=O)C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N\OC(=O)C)CCCCC
