,Smiles,acetoxy_radical,iminyl_radical,free_radical,BDE
220,O=[N+]([O-])c1ccc(cc1)/C(=N\OC(=O)C)c(c2)ccc(c23)c4c(cc([N+](=O)[O-])cc4)C3(CCCC)CCCC,CC([O])=O,CCCCC1(CCCC)c2cc(C(=[N])c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc([N+](=O)[O-])cc21,[C],43.461970109918084
221,c1cc([N+]([O-])=O)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)/C(c4ccc([N+](=O)[O-])cc4)=N/OC(=O)c5ccccc5,[O]C(=O)c1ccccc1,CCCCC1(CCCC)c2cc(C(=[N])c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc([N+](=O)[O-])cc21,[c]1ccccc1,44.376879690033704
222,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)Sc2ccc(cc2)C(=O)/C(C)=N/OC(=O)C,CC([O])=O,CC(=[N])C(=O)c1ccc(Sc2ccc(C(=O)/C(C)=N/OC(C)=O)cc2)cc1,[C],42.23267801995414
223,CC(=O)O/N=C(/C)C(=O)c1ccc(cc1)-c2ccc(cc2)OC,CC([O])=O,COc1ccc(-c2ccc(C(=O)C(C)=[N])cc2)cc1,[C],39.56325047998787
224,CC(=O)O/N=C(/C)C(=O)c1ccc(cc1)-c2ccc(cc2)Sc3ccccc3,CC([O])=O,CC(=[N])C(=O)c1ccc(-c2ccc(Sc3ccccc3)cc2)cc1,[C],39.60717618001965
225,c1cc(OC)cc(c12)C(CC)(CC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C,CC([O])=O,CCC1(CC)c2cc(OC)ccc2-c2ccc(C(=O)C(C)=[N])cc21,[C],47.20130219996535
226,CCCCCC/C(=N\OC(=O)C)c(cn1CC)c(c12)cc([N+]([O-])=O)cc2,CC([O])=O,CCCCCCC(=[N])c1cn(CC)c2ccc([N+](=O)[O-])cc12,[C],48.37411839007187
227,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)N2CCOCC2,CC([O])=O,CC(=[N])C(=O)c1ccc(N2CCOCC2)cc1,[C],41.77334070004376
228,O=C(C)O\N=C(C)\c(c1)ccc(c12)n(CC)c3c2cc(cc3)C(=O)c4c(C)cc(cc4)O[C@@H](CO5)OC5(C)C,CC([O])=O,CCn1c2ccc(C(C)=[N])cc2c2cc(C(=O)c3ccc(O[C@H]4COC(C)(C)O4)cc3C)ccc21,[C],42.37637780994803
229,c1cc([N+](=O)[O-])ccc1-c2ccc(cc2)/C(=N/OC(=O)C)CCCCCC,CC([O])=O,CCCCCCC(=[N])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,[C],44.522462009951504
230,CC(=O)O/N=C(\CCC)c(c1)ccc(c12)c3c(C2(CCC)CCC)cc([N+](=O)[O-])cc3,CC([O])=O,CCCC(=[N])c1ccc2c(c1)C(CCC)(CCC)c1cc([N+](=O)[O-])ccc1-2,[C],47.428460819962545
231,CC(=O)O/N=C(/C)c(cc1)cc(c12)c3c(n2CC)ccc(c3)C(=O)c4c(C)cccc4,CC([O])=O,CCn1c2ccc(C(C)=[N])cc2c2cc(C(=O)c3ccccc3C)ccc21,[C],40.670178120046735
232,FC(F)C(F)(F)C(F)(F)C(F)(F)Oc1ccccc1/C(=N/OC(=O)C)c(cc2)cc(c23)c4c(n3C[C@H](CC)CCCC)c5c(cccc5)c(c4)C(=O)c6c(C)cc(C)cc6C,CC([O])=O,CCCC[C@@H](CC)Cn1c2ccc(C(=[N])c3ccccc3OC(F)(F)C(F)(F)C(F)(F)C(F)F)cc2c2cc(C(=O)c3c(C)cc(C)cc3C)c3ccccc3c21,[C],45.683983020371905
233,C1CCCC1CC/C(=N\OC(=O)C)c(cc2)cc(c23)c4c(n3CC)ccc(c4)C(=O)c5c(C)cccc5,CC([O])=O,CCn1c2ccc(C(=[N])CCC3CCCC3)cc2c2cc(C(=O)c3ccccc3C)ccc21,[C],43.059736200006206
234,c12c3c4ccc1c(/C(C)=N/OC(=O)C)ccc2ccc3ccc4,CC([O])=O,CC(=[N])c1ccc2ccc3cccc4ccc1c2c34,[C],41.98920413999814
235,CC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)N(C(=O)C)c3c(S2)cccc3,CC([O])=O,CC(=[N])C(=O)c1ccc2c(c1)Sc1ccccc1N2C(C)=O,[C],42.274093679992255
236,CC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)N(CC)c3c(S2)cccc3,CC([O])=O,CCN1c2ccccc2Sc2cc(C(=O)C(C)=[N])ccc21,[C],42.4184209800559
