,Smiles,acetoxy_radical,iminyl_radical,free_radical,BDE
0,O=C(NCCCCCCNC(=O)ON=C1CCCCC1)ON=C1CCCCC1,[O]C(=O)NCCCCCCNC(=O)ON=C1CCCCC1,[N]=C1CCCCC1,[NH]CCCCCCNC(=O)ON=C1CCCCC1,41.420052570079655
1,CC(C)=NOC(=O)Nc1ccccc1,[O]C(=O)Nc1ccccc1,CC(C)=[N],[NH]c1ccccc1,42.731548469978726
2,CC(C)=NOC(=O)Nc1ccc(Cl)cc1,[O]C(=O)Nc1ccc(Cl)cc1,CC(C)=[N],[NH]c1ccc(Cl)cc1,43.41114179997507
3,CC(C)=NOC(=O)Nc1cc(Cl)ccc1Cl,[O]C(=O)Nc1cc(Cl)ccc1Cl,CC(C)=[N],[NH]c1cc(Cl)ccc1Cl,44.4879489599673
4,CC(C)=NOC(=O)Nc1cccc(Cl)c1,[O]C(=O)Nc1cccc(Cl)c1,CC(C)=[N],[NH]c1cccc(Cl)c1,43.63641788990568
5,CC(C)=NOC(=O)Nc1cccc(C)c1,Cc1cccc(NC([O])=O)c1,CC(C)=[N],[NH]c1cccc(C)c1,42.49183965001322
7,CNC(=O)ON=C(c1ccccc1)c1ccccc1,CNC([O])=O,[N]=C(c1ccccc1)c1ccccc1,[NH]C,40.98016806004882
8,CC(C)=NOC(=O)Nc1ccc(F)cc1,[O]C(=O)Nc1ccc(F)cc1,CC(C)=[N],[NH]c1ccc(F)cc1,42.86395308007248
10,CC(C)(C)C1CCC(=NOC(=O)c2ccc([N+](=O)[O-])cc2)CC1,[O]C(=O)c1ccc([N+](=O)[O-])cc1,CC(C)(C)C1CCC(=[N])CC1,[c]1ccc([N+](=O)[O-])cc1,41.71247222991208
11,CC(C)(C)C1CCC(=NOC(=O)c2cccc([N+](=O)[O-])c2)CC1,[O]C(=O)c1cccc([N+](=O)[O-])c1,CC(C)(C)C1CCC(=[N])CC1,[c]1cccc([N+](=O)[O-])c1,40.25162895003338
12,O=C1C=CC(=NOC(=O)c2cccc([N+](=O)[O-])c2)C=C1,[O]C(=O)c1cccc([N+](=O)[O-])c1,[N]=C1C=CC(=O)C=C1,[c]1cccc([N+](=O)[O-])c1,46.93900301998553
13,O=C(Nc1ccccc1)ON=C1CCCC1,[O]C(=O)Nc1ccccc1,[N]=C1CCCC1,[NH]c1ccccc1,42.66691493999923
15,O=C(ON=C1CCCCCCCCCCC1)c1cccs1,[O]C(=O)c1cccs1,[N]=C1CCCCCCCCCCC1,[c]1cccs1,44.98556439006639
18,CC(C)=NOC(=O)Nc1ccc(Cl)c(Cl)c1,[O]C(=O)Nc1ccc(Cl)c(Cl)c1,CC(C)=[N],[NH]c1ccc(Cl)c(Cl)c1,44.05935962997929
20,CC(C)c1cccc(C(C)C)c1NC(=O)ON=C1CCCCC1,CC(C)c1cccc(C(C)C)c1NC([O])=O,[N]=C1CCCCC1,[NH]c1c(C(C)C)cccc1C(C)C,42.10592100006015
21,CCc1cccc(C)c1NC(=O)ON=C(C)C,CCc1cccc(C)c1NC([O])=O,CC(C)=[N],[NH]c1c(C)cccc1CC,40.71473133000559
22,Cc1ccc(NC(=O)ON=C2CCCCC2)cc1Cl,Cc1ccc(NC([O])=O)cc1Cl,[N]=C1CCCCC1,[NH]c1ccc(C)c(Cl)c1,42.62675430010063
23,CC(C)=NOC(=O)Nc1cccc([N+](=O)[O-])c1,[O]C(=O)Nc1cccc([N+](=O)[O-])c1,CC(C)=[N],[NH]c1cccc([N+](=O)[O-])c1,45.33257742004635
24,Cc1cc(Cl)ccc1NC(=O)ON=C1CCCCC1,Cc1cc(Cl)ccc1NC([O])=O,[N]=C1CCCCC1,[NH]c1ccc(Cl)cc1C,42.18498725993187
25,CC(C)=NOC(=O)OCc1ccccc1,[O]C(=O)OCc1ccccc1,CC(C)=[N],[O]Cc1ccccc1,43.022085600029925
26,COc1ccccc1NC(=O)ON=C(C)C,COc1ccccc1NC([O])=O,CC(C)=[N],[NH]c1ccccc1OC,42.42971616002738
27,Cc1cc([N+](=O)[O-])ccc1NC(=O)ON=C1CCCCC1,Cc1cc([N+](=O)[O-])ccc1NC([O])=O,[N]=C1CCCCC1,[NH]c1ccc([N+](=O)[O-])cc1C,40.362070710039895
28,CCc1cccc(CC)c1NC(=O)ON=C1CCCCC1,CCc1cccc(CC)c1NC([O])=O,[N]=C1CCCCC1,[NH]c1c(CC)cccc1CC,39.8261771699661
30,CC(C)=NOC(=O)Nc1ccc(Cl)cc1Cl,[O]C(=O)Nc1ccc(Cl)cc1Cl,CC(C)=[N],[NH]c1ccc(Cl)cc1Cl,44.349269249960734
31,CC(C)=NOC(=O)Nc1ccc(C)c(C)c1,Cc1ccc(NC([O])=O)cc1C,CC(C)=[N],[NH]c1ccc(C)c(C)c1,42.06952542000936
32,O=C(Nc1ccc(Cl)cc1Cl)ON=C1CCCCC1,[O]C(=O)Nc1ccc(Cl)cc1Cl,[N]=C1CCCCC1,[NH]c1ccc(Cl)cc1Cl,40.210213290137936
34,CC(C)=NOC(=O)Nc1ccc(C)c(Cl)c1,Cc1ccc(NC([O])=O)cc1Cl,CC(C)=[N],[NH]c1ccc(C)c(Cl)c1,43.45695002993075
35,O=C(ON=C1CCCCCCCCCCC1)c1ccc(F)cc1,[O]C(=O)c1ccc(F)cc1,[N]=C1CCCCCCCCCCC1,[c]1ccc(F)cc1,47.277230909987665
36,CC(C)=NOC(=O)Nc1ccccc1C,Cc1ccccc1NC([O])=O,CC(C)=[N],[NH]c1ccccc1C,42.23142300002865
37,CCc1ccccc1NC(=O)ON=C(C)C,CCc1ccccc1NC([O])=O,CC(C)=[N],[NH]c1ccccc1CC,42.082703130047435
38,CC(C)=NOC(=O)Nc1cccc(C(F)(F)F)c1,[O]C(=O)Nc1cccc(C(F)(F)F)c1,CC(C)=[N],[NH]c1cccc(C(F)(F)F)c1,44.17042889998422
39,O=C(Nc1cccc([N+](=O)[O-])c1)ON=C1CCCCC1,[O]C(=O)Nc1cccc([N+](=O)[O-])c1,[N]=C1CCCCC1,[NH]c1cccc([N+](=O)[O-])c1,41.22238692000799
40,Cc1ccc(NC(=O)ON=C2CCCCC2)c(C)c1,Cc1ccc(NC([O])=O)c(C)c1,[N]=C1CCCCC1,[NH]c1ccc(C)cc1C,39.110815769988726
42,CC(C)=NOC(=O)Nc1ccc(Br)cc1,[O]C(=O)Nc1ccc(Br)cc1,CC(C)=[N],[NH]c1ccc(Br)cc1,43.398591600292114
43,CC(C)=NOC(=O)Nc1cc(C)cc(C)c1,Cc1cc(C)cc(NC([O])=O)c1,CC(C)=[N],[NH]c1cc(C)cc(C)c1,42.152356740014255
44,CC(C)=NOC(=O)Nc1cccc(C)c1C,Cc1cccc(NC([O])=O)c1C,CC(C)=[N],[NH]c1cccc(C)c1C,41.83358166003435
46,CC(C)=NOC(=O)Nc1ccccc1Cl,[O]C(=O)Nc1ccccc1Cl,CC(C)=[N],[NH]c1ccccc1Cl,43.71422912985191
47,CC(C)=NOC(=O)Nc1ccc([N+](=O)[O-])cc1C,Cc1cc([N+](=O)[O-])ccc1NC([O])=O,CC(C)=[N],[NH]c1ccc([N+](=O)[O-])cc1C,44.45029835999102
48,CC(C)=NOC(=O)Nc1cccc(Cl)c1Cl,[O]C(=O)Nc1cccc(Cl)c1Cl,CC(C)=[N],[NH]c1cccc(Cl)c1Cl,44.21435459994466
50,O=C(Nc1ccc(Br)cc1)ON=C1CCCCC1,[O]C(=O)Nc1ccc(Br)cc1,[N]=C1CCCCC1,[NH]c1ccc(Br)cc1,42.74284365002155
53,COc1c(Cl)cccc1NC(=O)ON=C1CCCCC1,COc1c(Cl)cccc1NC([O])=O,[N]=C1CCCCC1,[NH]c1cccc(Cl)c1OC,39.073165170012444
54,CCc1ccccc1NC(=O)ON=C1CCCCC1,CCc1ccccc1NC([O])=O,[N]=C1CCCCC1,[NH]c1ccccc1CC,41.384912010025694
55,Cc1ccc(Cl)cc1NC(=O)ON=C1CCCCC1,Cc1ccc(Cl)cc1NC([O])=O,[N]=C1CCCCC1,[NH]c1cc(Cl)ccc1C,39.08446034998393
56,CC(C)=NONc1cccc2c(NC(=O)ON=C(C)C)cccc12,CC(C)=NONc1cccc2c(NC([O])=O)cccc12,CC(C)=[N],[NH]c1cccc2c(NON=C(C)C)cccc12,45.47753222996573
57,COc1ccc(C)cc1NC(=O)ON=C(C)C,COc1ccc(C)cc1NC([O])=O,CC(C)=[N],[NH]c1cc(C)ccc1OC,42.16553445005232
58,O=C(Nc1cccc(Cl)c1Cl)ON=C1CCCCC1,[O]C(=O)Nc1cccc(Cl)c1Cl,[N]=C1CCCCC1,[NH]c1cccc(Cl)c1Cl,40.06337594993795
59,O=C(Nc1ccc(Cl)c(Cl)c1)ON=C1CCCCC1,[O]C(=O)Nc1ccc(Cl)c(Cl)c1,[N]=C1CCCCC1,[NH]c1ccc(Cl)c(Cl)c1,39.76217114998502
61,CC(C)=NOC(=O)Nc1cc(Cl)c(Cl)cc1Cl,[O]C(=O)Nc1cc(Cl)c(Cl)cc1Cl,CC(C)=[N],[NH]c1cc(Cl)c(Cl)cc1Cl,44.95356137993318
66,O=C(Nc1ccc(Cl)cc1)ON=C1CCCCC1,[O]C(=O)Nc1ccc(Cl)cc1,[N]=C1CCCCC1,[NH]c1ccc(Cl)cc1,42.75476634006279
68,COc1ccc(Cl)cc1NC(=O)ON=C1CCCCC1,COc1ccc(Cl)cc1NC([O])=O,[N]=C1CCCCC1,[NH]c1cc(Cl)ccc1OC,39.0505748099268
69,O=C(Nc1ccc(Cl)c(Cl)c1)ON=C1CCCC1,[O]C(=O)Nc1ccc(Cl)c(Cl)c1,[N]=C1CCCC1,[NH]c1ccc(Cl)c(Cl)c1,44.06186966997295
70,Cc1ccc(NC(=O)ON=C2CCCCC2)cc1[N+](=O)[O-],Cc1ccc(NC([O])=O)cc1[N+](=O)[O-],[N]=C1CCCCC1,[NH]c1ccc(C)c([N+](=O)[O-])c1,43.74246708006597
71,CC(C)=NOC(=O)NCCCCCCNC(=O)ON=C(C)C,CC(C)=NOC(=O)NCCCCCCNC([O])=O,CC(C)=[N],[NH]CCCCCCNC(=O)ON=C(C)C,41.792793509994645
72,O=C(ON=C1CCCCCCCCCCC1)c1ccc([N+](=O)[O-])cc1,[O]C(=O)c1ccc([N+](=O)[O-])cc1,[N]=C1CCCCCCCCCCC1,[c]1ccc([N+](=O)[O-])cc1,45.10228124991439
73,CC(C)=NOC(=O)Nc1ccc(C)c([N+](=O)[O-])c1,Cc1ccc(NC([O])=O)cc1[N+](=O)[O-],CC(C)=[N],[NH]c1ccc(C)c([N+](=O)[O-])c1,43.11495708000947
74,O=C(Nc1ccccc1Cl)ON=C1CCCCC1,[O]C(=O)Nc1ccccc1Cl,[N]=C1CCCCC1,[NH]c1ccccc1Cl,39.54003260997515
75,COc1cccc(C)c1NC(=O)ON=C1CCCCC1,COc1cccc(C)c1NC([O])=O,[N]=C1CCCCC1,[NH]c1c(C)cccc1OC,40.6344100500657
76,O=C(Nc1cccc(C(F)(F)F)c1)ON=C1CCCCC1,[O]C(=O)Nc1cccc(C(F)(F)F)c1,[N]=C1CCCCC1,[NH]c1cccc(C(F)(F)F)c1,39.5789382300196
77,O=C(Nc1cc(C(F)(F)F)ccc1Cl)ON=C1CCCCC1,[O]C(=O)Nc1cc(C(F)(F)F)ccc1Cl,[N]=C1CCCCC1,[NH]c1cc(C(F)(F)F)ccc1Cl,40.45054962003053
79,CC(C)=NOC(=O)Nc1c(C)cccc1C,Cc1cccc(C)c1NC([O])=O,CC(C)=[N],[NH]c1c(C)cccc1C,41.39118711000985
80,Cc1ccc(C(=O)ON=C2CCCCCCCCCCC2)cc1,Cc1ccc(C([O])=O)cc1,[N]=C1CCCCCCCCCCC1,[c]1ccc(C)cc1,42.95180447999335
81,O=C(Nc1cccc(Br)c1)ON=C1CCCCC1,[O]C(=O)Nc1cccc(Br)c1,[N]=C1CCCCC1,[NH]c1cccc(Br)c1,39.6404342101497
82,CC(C)=NOC(=O)Nc1ccc(Cl)cc1C,Cc1cc(Cl)ccc1NC([O])=O,CC(C)=[N],[NH]c1ccc(Cl)cc1C,42.84701031004391
83,CC(C)=NOC(=O)Nc1cc(C(F)(F)F)ccc1Cl,[O]C(=O)Nc1cc(C(F)(F)F)ccc1Cl,CC(C)=[N],[NH]c1cc(C(F)(F)F)ccc1Cl,44.5808204398755
84,O=C(Nc1cc(Cl)ccc1Cl)ON=C1CCCCC1,[O]C(=O)Nc1cc(Cl)ccc1Cl,[N]=C1CCCCC1,[NH]c1cc(Cl)ccc1Cl,40.346382960008164
85,CCc1cccc(CC)c1NC(=O)ON=C(C)C,CCc1cccc(CC)c1NC([O])=O,CC(C)=[N],[NH]c1c(CC)cccc1CC,41.2675676400366
87,CC(C)=NOC(=O)Nc1c(C(C)C)cccc1C(C)C,CC(C)c1cccc(C(C)C)c1NC([O])=O,CC(C)=[N],[NH]c1c(C(C)C)cccc1C(C)C,42.53702037004182
88,CC(C)=NOC(=O)Nc1cc(C)ccc1C,Cc1ccc(C)c(NC([O])=O)c1,CC(C)=[N],[NH]c1cc(C)ccc1C,41.9942242200568
89,COc1ccc(OC)c(NC(=O)ON=C(C)C)c1,COc1ccc(OC)c(NC([O])=O)c1,CC(C)=[N],[NH]c1cc(OC)ccc1OC,42.403360740022585
90,COc1c(Cl)cccc1NC(=O)ON=C(C)C,COc1c(Cl)cccc1NC([O])=O,CC(C)=[N],[NH]c1cccc(Cl)c1OC,43.29003236992414
91,CC(C)=NOC(=O)Nc1cc(Cl)ccc1C,Cc1ccc(Cl)cc1NC([O])=O,CC(C)=[N],[NH]c1cc(Cl)ccc1C,43.25112675002237
94,CCc1cccc(C)c1NC(=O)ON=C1CCCCC1,CCc1cccc(C)c1NC([O])=O,[N]=C1CCCCC1,[NH]c1c(C)cccc1CC,39.98744723998697
95,CC(C)=NOC(=O)Nc1c(C)cccc1Cl,Cc1cccc(Cl)c1NC([O])=O,CC(C)=[N],[NH]c1c(C)cccc1Cl,39.227532630050746
96,CC(C)=NOC(=O)Nc1c(Cl)cccc1Cl,[O]C(=O)Nc1c(Cl)cccc1Cl,CC(C)=[N],[NH]c1c(Cl)cccc1Cl,42.483054509964056
97,Cc1ncc(COC(=O)c2ccccc2)c(C=NOC(=O)c2ccccc2)c1OC(=O)c1ccccc1,[O]C(=O)c1ccccc1,Cc1ncc(COC(=O)c2ccccc2)c(C=[N])c1OC(=O)c1ccccc1,[c]1ccccc1,43.919424899975894
98,O=C(Nc1cc(Cl)c(Cl)cc1Cl)ON=C1CCCCC1,[O]C(=O)Nc1cc(Cl)c(Cl)cc1Cl,[N]=C1CCCCC1,[NH]c1cc(Cl)c(Cl)cc1Cl,40.84086083990116
99,O=C(Nc1cccc(Cl)c1)ON=C1CCCCC1,[O]C(=O)Nc1cccc(Cl)c1,[N]=C1CCCCC1,[NH]c1cccc(Cl)c1,39.63039405003237
101,O=C(ON=C1CCCCCCCCCCC1)c1ccc(Cl)cc1,[O]C(=O)c1ccc(Cl)cc1,[N]=C1CCCCCCCCCCC1,[c]1ccc(Cl)cc1,43.751879730042205
102,CNC(=O)O/N=C(\C)C(C)SC,CNC([O])=O,CSC(C)C(C)=[N],[NH]C,39.81488198999462
103,CNC(=O)O/N=C(/CS(C)=O)C(C)(C)C,CNC([O])=O,CS(=O)CC(=[N])C(C)(C)C,[NH]C,40.15436490006493
104,CC(C)(C)OC(=O)O/N=C(\C#N)c1ccccc1,CC(C)(C)OC([O])=O,[N]=C(C#N)c1ccccc1,[O]C(C)(C)C,44.43272808003538
105,C#CCOC(=O)O/N=c1\sc2ccccc2n1CCSCCO,C#CCOC([O])=O,[N]=c1sc2ccccc2n1CCSCCO,[O]CC#C,48.398591280081426
106,CCOC(=O)/C(=N\OC(=O)c1ccc(Cl)cc1)c1csc(NC(=O)c2ccc(Cl)cc2)n1,[O]C(=O)c1ccc(Cl)cc1,CCOC(=O)C(=[N])c1csc(NC(=O)c2ccc(Cl)cc2)n1,[c]1ccc(Cl)cc1,44.65925918989148
107,C/C(Cc1ccccc1)=N\OC(=O)Nc1ccccc1,[O]C(=O)Nc1ccccc1,CC(=[N])Cc1ccccc1,[NH]c1ccccc1,42.68072016003572
108,COc1ccc(COC(=O)O/N=C(/C#N)c2ccccc2)cc1,COc1ccc(COC([O])=O)cc1,[N]=C(C#N)c1ccccc1,[O]Cc1ccc(OC)cc1,42.466111740078176
109,O=C(Nc1cc(Cl)ccc1Cl)O/N=C\c1ccccn1,[O]C(=O)Nc1cc(Cl)ccc1Cl,[N]=Cc1ccccn1,[NH]c1cc(Cl)ccc1Cl,39.718245449953244
110,COc1ccc(Cl)cc1NC(=O)O/N=C\c1ccncc1,COc1ccc(Cl)cc1NC([O])=O,[N]=Cc1ccncc1,[NH]c1cc(Cl)ccc1OC,41.23932968996522
111,O=C(O/N=C\c1ccccc1)N1CCOCC1,[O]C(=O)N1CCOCC1,[N]=Cc1ccccc1,[NH]1CCOCC1,42.97188479994266
112,O=C(O/N=C\c1cc([N+](=O)[O-])ccc1SC1CCCCC1)c1ccc(Cl)cc1,[O]C(=O)c1ccc(Cl)cc1,[N]=Cc1cc([N+](=O)[O-])ccc1SC1CCCCC1,[c]1ccc(Cl)cc1,44.55885759014497
113,CC(=O)Nc1ccc(/C=N\OC(C)=O)cc1,CC([O])=O,CC(=O)Nc1ccc(C=[N])cc1,[C],42.1134511199698
116,CCOc1ccc(C(=O)/C(C)=N/OC(=O)Nc2cccc(Cl)c2)cc1,[O]C(=O)Nc1cccc(Cl)c1,CCOc1ccc(C(=O)C(C)=[N])cc1,[NH]c1cccc(Cl)c1,42.34813986009067
117,CC/C(C)=N/OC(=O)Nc1ccccc1,[O]C(=O)Nc1ccccc1,CCC(C)=[N],[NH]c1ccccc1,43.21786871996366
118,COc1ccccc1/C=N/OC(=O)c1cccc([N+](=O)[O-])c1,[O]C(=O)c1cccc([N+](=O)[O-])c1,COc1ccccc1C=[N],[c]1cccc([N+](=O)[O-])c1,42.23832561001122
119,O=C(O/N=C/c1ccc(Cl)cc1)c1ccccc1,[O]C(=O)c1ccccc1,[N]=Cc1ccc(Cl)cc1,[c]1ccccc1,44.57140778997061
120,CNC(=O)O/N=C/C(C)(C)S(C)=O,CNC([O])=O,CS(=O)C(C)(C)C=[N],[NH]C,43.93260261001396
121,CNC(=O)O/N=C/C(C)(C)SC,CNC([O])=O,CSC(C)(C)C=[N],[NH]C,41.86056458996622
122,CNC(=O)O/N=C/C(C)(C)S(C)(=O)=O,CNC([O])=O,CC(C)(C=[N])S(C)(=O)=O,[NH]C,40.00313498994736
123,CNC(=O)O/N=C(\C)C(C)S(C)(=O)=O,CNC([O])=O,CC(=[N])C(C)S(C)(=O)=O,[NH]C,39.61031373008307
125,CNC(=O)O/N=C(\C)C(C)S(C)=O,CNC([O])=O,CC(=[N])C(C)S(C)=O,[NH]C,43.82090583001061
126,CNC(=O)O/N=C(\SC)C(=O)N(C)C,CNC([O])=O,CSC(=[N])C(=O)N(C)C,[NH]C,42.75100127992961
127,COc1ccc(/C=N/OC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)cc1,[O]C(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,COc1ccc(C=[N])cc1,[c]1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,48.2429688000463
128,O=C(Nc1ccccc1)O/N=C/c1ccc2c(c1)OCO2,[O]C(=O)Nc1ccccc1,[N]=Cc1ccc2c(c1)OCO2,[NH]c1ccccc1,43.54166388007357
129,CC/C(C)=N/OC(=O)Nc1ccc(Cl)c(Cl)c1,[O]C(=O)Nc1ccc(Cl)c(Cl)c1,CCC(C)=[N],[NH]c1ccc(Cl)c(Cl)c1,44.06939978995394
130,COc1ccccc1NC(=O)O/N=C/c1cccc(C)n1,COc1ccccc1NC([O])=O,Cc1cccc(C=[N])n1,[NH]c1ccccc1OC,46.845504030078914
131,CC(C)(Oc1ccc(Cl)cc1)/C(N)=N/OC(=O)c1cccnc1,[O]C(=O)c1cccnc1,CC(C)(Oc1ccc(Cl)cc1)C(=[N])N,[c]1cccnc1,49.09010730004766
132,O=C(Nc1cccc(C(F)(F)F)c1)O/N=C/c1ccc2c(c1)OCO2,[O]C(=O)Nc1cccc(C(F)(F)F)c1,[N]=Cc1ccc2c(c1)OCO2,[NH]c1cccc(C(F)(F)F)c1,45.16942482010157
133,COc1ccc(Br)cc1/C=N/OC(=O)c1ccc(C(C)(C)C)cc1,CC(C)(C)c1ccc(C([O])=O)cc1,COc1ccc(Br)cc1C=[N],[c]1ccc(C(C)(C)C)cc1,44.01857147986825
134,CCOC(=O)O/N=C/c1ccc(OC)cc1,CCOC([O])=O,COc1ccc(C=[N])cc1,[O]CC,44.024846579995085
135,Cc1ccc(/C=N/OC(=O)Nc2ccccc2)c(C)c1,[O]C(=O)Nc1ccccc1,Cc1ccc(C=[N])c(C)c1,[NH]c1ccccc1,42.96309965996483
136,Cc1ccc(/C=N/OC(=O)Nc2cccc(C(F)(F)F)c2)c(C)c1,[O]C(=O)Nc1cccc(C(F)(F)F)c1,Cc1ccc(C=[N])c(C)c1,[NH]c1cccc(C(F)(F)F)c1,43.69603133996919
137,COc1ccccc1/C=N/OC(=O)c1ccc(C)cc1,Cc1ccc(C([O])=O)cc1,COc1ccccc1C=[N],[c]1ccc(C)cc1,40.143069720022105
138,O=C(O/N=C/c1ccc(Cl)cc1)c1cccc([N+](=O)[O-])c1,[O]C(=O)c1cccc([N+](=O)[O-])c1,[N]=Cc1ccc(Cl)cc1,[c]1cccc([N+](=O)[O-])c1,45.75426414005178
139,CN(C)c1ccc(/C=N/OC(=O)c2ccc([N+](=O)[O-])cc2)cc1,[O]C(=O)c1ccc([N+](=O)[O-])cc1,CN(C)c1ccc(C=[N])cc1,[c]1ccc([N+](=O)[O-])cc1,46.929590370009294
140,O=C(O/N=C/c1ccc(Cl)cc1)c1ccc(Cl)cc1,[O]C(=O)c1ccc(Cl)cc1,[N]=Cc1ccc(Cl)cc1,[c]1ccc(Cl)cc1,45.08031840004118
141,CCC(C)/C=N/OC(=O)Nc1cccc(C(F)(F)F)c1,[O]C(=O)Nc1cccc(C(F)(F)F)c1,CCC(C)C=[N],[NH]c1cccc(C(F)(F)F)c1,42.916663919939396
142,O=C(Nc1ccc(Cl)c(Cl)c1)O/N=C/c1ccc2c(c1)OCO2,[O]C(=O)Nc1ccc(Cl)c(Cl)c1,[N]=Cc1ccc2c(c1)OCO2,[NH]c1ccc(Cl)c(Cl)c1,45.457451910016424
143,O=C(O/N=C/c1cc[n+]([O-])cc1)c1ccccc1,[O]C(=O)c1ccccc1,[N]=Cc1cc[n+]([O-])cc1,[c]1ccccc1,45.02949009002683
144,O=C(ON=C(c1ccccc1)c1ccccc1)c1ccc([N+](=O)[O-])cc1,[O]C(=O)c1ccc([N+](=O)[O-])cc1,[N]=C(c1ccccc1)c1ccccc1,[c]1ccc([N+](=O)[O-])cc1,44.27961564006525
145,CC(=O)O/N=C1\C(=O)N(Cc2cc(Cl)ccc2Cl)c2ccc(Cl)cc21,CC([O])=O,[N]=C1C(=O)N(Cc2cc(Cl)ccc2Cl)c2ccc(Cl)cc21,[C],43.27748217009851
146,CNC(=O)O/N=[13C](\SC)C(=O)N(C)C,CNC([O])=O,CS[13C](=[N])C(=O)N(C)C,[NH]C,42.75100127992961
147,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,CC([O])=O,[N]=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,[C],46.44201510017021
148,CCCCC/C(=N\OC(=O)Nc1ccccc1)c1cc(C)ccc1O,[O]C(=O)Nc1ccccc1,CCCCCC(=[N])c1cc(C)ccc1O,[NH]c1ccccc1,41.8172664000042
149,CCCCCCCCCCC/C(=N\OC(=O)Nc1ccccc1)c1cc(C)ccc1O,[O]C(=O)Nc1ccccc1,CCCCCCCCCCCC(=[N])c1cc(C)ccc1O,[NH]c1ccccc1,45.958204890036264
150,CC(=O)O/N=C(\C)c(cc1)c(c2c13)cccc2CC3,CC([O])=O,CC(=[N])c1ccc2c3c(cccc13)CC2,[C],41.46084072004801
151,CC(=O)O\N=C(CC)\c(cc1)c(c2c13)cccc2CC3,CC([O])=O,CCC(=[N])c1ccc2c3c(cccc13)CC2,[C],41.450173050003606
152,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)-c2ccc(cc2)C(=O)c3ccccc3,CC([O])=O,CC(=[N])C(=O)c1ccc(-c2ccc(C(=O)c3ccccc3)cc2)cc1,[C],42.186869789998454
153,c1cccc(c12)C(=O)N(C2=O)Cc3ccc(cc3)/C(CC)=N\OC(=O)C,CC([O])=O,CCC(=[N])c1ccc(CN2C(=O)c3ccccc3C2=O)cc1,[C],41.561869830006955
154,CCCCCC(=N/OC(=O)C)\c(cc1)cc(c12)nc(C)n2CCCC,CC([O])=O,CCCCCC(=[N])c1ccc2c(c1)nc(C)n2CCCC,[C],44.18486163009047
155,CCCCC(=N/OC(=O)C)\C(=O)c(cc1)cc(c12)nc(C)n2CCCC,CC([O])=O,CCCCC(=[N])C(=O)c1ccc2c(c1)nc(C)n2CCCC,[C],41.59073528993408
156,c1ccccc1C/C(=N/OC(=O)C)c2ccc(cc2)-c3ccccc3,CC([O])=O,[N]=C(Cc1ccccc1)c1ccc(-c2ccccc2)cc1,[C],41.14269315006652
158,c1ccccc1-c2ccc(cc2)/C(=N/OC(=O)C)CCCCC,CC([O])=O,CCCCCC(=[N])c1ccc(-c2ccccc2)cc1,[C],44.81111661000745
159,[O-][N+](=O)c1ccc(cc1)/C(=N\OC(=O)C)c2ccc(cc2)-c3ccccc3,CC([O])=O,[N]=C(c1ccc(-c2ccccc2)cc1)c1ccc([N+](=O)[O-])cc1,[C],42.6073014900784
160,c1ccccc1/C(=N\OC(=O)C)C(=O)c2ccc(cc2)-c3ccccc3,CC([O])=O,[N]=C(C(=O)c1ccc(-c2ccccc2)cc1)c1ccccc1,[C],39.99748739989028
161,O=[N+]([O-])c(c1)ccc(c12)n(COCC)c3c2cc(cc3)C(=O)/C(C)=N\OC(=O)C,CC([O])=O,CCOCn1c2ccc(C(=O)C(C)=[N])cc2c2cc([N+](=O)[O-])ccc21,[C],39.108933239993476
162,c1cc(OC)cc(c12)c3c(n2CC)ccc(c3)C(=O)/C(C)=N\OC(=O)C,CC([O])=O,CCn1c2ccc(OC)cc2c2cc(C(=O)C(C)=[N])ccc21,[C],39.0687725999522
164,CC(=O)O/N=C(\C(=O)C)C(=O)c(c1)ccc(c12)c3c(cccc3)C2(CCCC)CCCC,CC([O])=O,CCCCC1(CCCC)c2ccccc2-c2ccc(C(=O)C(=[N])C(C)=O)cc21,[C],40.69967109004361
165,OC(=O)c1ccccc1c(c(c23)cccc2)=C4[C@@H]3C=C(C=C4)/C(C)=N/OC(=O)C,CC([O])=O,CC(=[N])C1=C[C@H]2C(=C(c3ccccc3C(=O)O)c3ccccc32)C=C1,[C],43.948290360045696
166,CC(=O)O/N=C(/CCC)c(cn1CC)c(c12)cccc2,CC([O])=O,CCCC(=[N])c1cn(CC)c2ccccc12,[C],43.158882780041246
167,O=C(C)O\N=C(C)\C(=O)c(c1)ccc(c1Sc(c23)cccc2)N3CCCCCCCCCC,CC([O])=O,CCCCCCCCCCN1c2ccccc2Sc2cc(C(=O)C(C)=[N])ccc21,[C],45.82580028001385
168,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)CN(C2=O)C(=O)c(c23)cccc3,CC([O])=O,CC(=[N])C(=O)c1ccc(CN2C(=O)c3ccccc3C2=O)cc1,[C],41.99987181004254
