,Smiles,acetoxy_radical,iminyl_radical,free_radical,BDE,integral,log_integral,decarboxylation_enthalpy
205,CCC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3,CCC([O])=O,CCC1(CC)c2ccccc2-c2ccc(C(=O)C(C)=[N])cc21,[C]C,40.78752248996449,885532.0504990938,5.947204284445349,-8.498367929999077
206,CC(=O)O/N=C(/C)c(c1)ccc(c12)c3c(cc([N+]([O-])=O)cc3)C2(CCCC)CCCC,CC([O])=O,CCCCC1(CCCC)c2cc(C(C)=[N])ccc2-c2ccc([N+](=O)[O-])cc21,[C],46.97602611003474,957677.2418199131,5.981219166996625,-8.498367929999077
207,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)N(c3c(S2)cc(cc3)C(=O)/C(CC)=N/OC(=O)C)CCCCCCCCCC,CC([O])=O,CCCCCCCCCCN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N/OC(C)=O)ccc21,[C],49.34299383005124,626070.6096507002,5.796623316680634,-8.498367929999077
208,CC(=O)O/N=C(\CC)c(c1)ccc(c12)N(CC)c3c(S2)cc(cc3)/C(CC)=N/OC(=O)C,CC([O])=O,CCC(=[N])c1ccc2c(c1)Sc1cc(/C(CC)=N/OC(C)=O)ccc1N2CC,[C],49.555092210086464,477053.8942890632,5.678567445434604,-8.498367929999077
209,CC(=O)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2C(=O)C)ccc(c3)C(=O)/C(CC)=N/OC(=O)C,CC([O])=O,CCC(=[N])C(=O)c1ccc2c(c1)Sc1cc(C(=O)/C(CC)=N/OC(C)=O)ccc1N2C(C)=O,[C],47.31425400010821,355077.4609344201,5.550323105693689,-8.498367929999077
210,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)N(CCCC)c3c(S2)cc(cc3)C(=O)/C(CC)=N/OC(=O)C,CC([O])=O,CCCCN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N/OC(C)=O)ccc21,[C],48.2341836599258,565734.6236244156,5.7526127588869205,-8.498367929999077
211,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)N(C[C@H](CC)CCCC)c3c(S2)cc(cc3)C(=O)/C(CC)=N/OC(=O)C,CC([O])=O,CCCC[C@@H](CC)CN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N/OC(C)=O)ccc21,[C],47.03438453981605,563021.6002406379,5.7505250568146975,-8.498367929999077
212,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCC)ccc(c3)C(=O)/C(CC)=N\OC(=O)C,CC([O])=O,CCCCCCN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N\OC(C)=O)ccc21,[C],49.998114270109376,460984.9935630671,5.663686788038609,-8.498367929999077
213,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCC)ccc(c3)C(=O)/C(CC)=N\OC(=O)C,CC([O])=O,CCCCCCN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N/OC(C)=O)ccc21,[C],45.23468586007948,460984.9935630671,5.663686788038609,-8.498367929999077
214,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCCCC)ccc(c3)C(=O)/C(CC)=N\OC(=O)C,CC([O])=O,CCCCCCCCN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N\OC(C)=O)ccc21,[C],45.242215980060465,510320.96004901774,5.707843406166229,-8.498367929999077
215,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCCCC)ccc(c3)C(=O)/C(CC)=N\OC(=O)C,CC([O])=O,CCCCCCCCN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N/OC(C)=O)ccc21,[C],44.15348613016968,510320.96004901774,5.707843406166229,-8.498367929999077
216,CCCCCC(=N/OC(=O)C)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCCCC)ccc(c3)C(=O)/C(=N/OC(=O)C)CCCCC,CC([O])=O,CCCCCCCCN1c2ccc(C(=O)C(=[N])CCCCC)cc2Sc2cc(C(=O)/C(CCCCC)=N/OC(C)=O)ccc21,[C],46.413777150027485,670578.4857621721,5.826449615802235,-8.498367929999077
